Wert;R_29;R_30;R_31;R_32;Wert;;;;
236;840,82;8954,57;857,73;9058,97;19;;;;
237;803,41;8992,12;819,80;9096,92;18;;;;
238;766,00;9029,67;781,87;9134,87;17;;;;
239;728,59;9067,22;743,93;9172,82;16;;;;
240;691,18;9104,76;706,00;9210,76;15;;;;
241;653,76;9142,31;668,07;9248,71;14;;;;
242;616,35;9179,86;630,13;9286,66;13;;;;
243;578,94;9217,41;592,20;9324,61;12;;;;
244;541,53;9254,96;554,27;9362,56;11;;;;
245;504,12;9292,51;516,33;9400,51;10;;;;
246;466,71;9330,06;478,40;9438,46;9;;;;
247;429,29;9367,61;440,47;9476,41;8;;;;
248;391,88;9405,16;402,53;9514,36;7;;;;
249;354,47;9442,71;364,60;9552,31;6;;;;
250;317,06;9480,25;326,67;9590,25;5;;;;
251;279,65;9517,80;288,73;9628,20;4;;;;
252;242,24;9555,35;250,80;9666,15;3;;;;
253;204,82;9592,90;212,87;9704,10;2;;;;
254;167,41;9630,45;174,93;9742,05;1;;;;
255;130,00;9668,00;137,00;9780,00;0;;;;
;;;;;;;;;
